team_season_name,-30 < x <= -25,5 < x <= 10,35 < x <= 40,10 < x <= 15,-25 < x <= -20,25 < x <= 30,-10 < x <= -5,15 < x <= 20,30 < x <= 35,20 < x <= 25,-5 < x <= 0,0 < x <= 5,-15 < x <= -10,<= -40,-35 < x <= -30,-20 < x <= -15,> 40,-40 < x <= -35,> 40 +,> 40 -,5 < x <= 10 +,-15 < x <= -10 +,<= -40 +,<= -40 -,-15 < x <= -10 -,-30 < x <= -25 -,30 < x <= 35 +,-30 < x <= -25 +,35 < x <= 40 +,25 < x <= 30 +,10 < x <= 15 -,25 < x <= 30 -,10 < x <= 15 +,20 < x <= 25 -,-25 < x <= -20 +,-25 < x <= -20 -,20 < x <= 25 +,0 < x <= 5 -,-10 < x <= -5 +,-10 < x <= -5 -,0 < x <= 5 +,35 < x <= 40 -,-40 < x <= -35 +,-40 < x <= -35 -,15 < x <= 20 +,15 < x <= 20 -,-35 < x <= -30 -,5 < x <= 10 -,-35 < x <= -30 +,-20 < x <= -15 -,-5 < x <= 0 -,-20 < x <= -15 +,-5 < x <= 0 +,30 < x <= 35 -,Total_+_%,Total_-_%
4-76ers,0.501364972700546,14.122217555648886,0.0,5.811633767324653,2.081583368332633,0.4672406551868963,12.019634607307854,3.861297774044519,0.2021209575808484,1.8427131457370853,23.146787064258717,23.65077698446031,7.872217555648887,0.0,0.32549349013019735,4.068668626627468,0.0,0.02624947501049979,0.0,0.0,1.5854682906341873,0.994855102897942,0.0,0.0,0.9108567828643427,0.07874842503149937,0.020999580008399833,0.05512389752204956,0.0,0.04462410751784964,0.8163586728265435,0.08137337253254935,0.6614867702645947,0.24149517009659804,0.2729945401091978,0.17062158756824863,0.17849643007139857,2.9793154136917264,1.5329693406131877,1.4148467030659388,2.974065518689626,0.0,0.013124737505249895,0.0,0.4147417051658967,0.5144897102057959,0.0367492650146997,1.9372112557748844,0.03412431751364972,0.44886602267954645,2.6643217135657284,0.5459890802183957,2.9478160436791265,0.026249475010499786,12.276879462410752,12.321503569928602
4-Bobcats,0.4971627882763288,7.394971107293457,0.0,2.8840647613098023,2.600343588942683,0.1874121505544276,18.910406580248843,0.9552813785204852,0.0,0.5075745744182414,26.456348586600033,21.138528814618144,12.0021864750898,0.0,0.21344161590920924,6.234056952470196,0.0,0.018220625748347128,0.0,0.0,0.775678067572492,1.5305325628611588,0.0,0.0,1.3665469311260348,0.07027955645791036,0.0,0.10151491488364829,0.0,0.028632411890259772,0.37482430110885523,0.03123535842573794,0.3149565307928575,0.05726482378051955,0.3409859961476392,0.24207402779946902,0.046853037638606904,2.855432349419543,2.228122234369306,2.2957988442917383,2.129210266021136,0.0,0.0026029465354781615,0.0,0.11192670102556093,0.15357384559321152,0.023426518819303452,1.0437815607267427,0.03123535842573794,0.6897808319017127,3.1938153990317035,0.7470456556822324,3.1886095059607475,0.0,11.57790618980686,12.397834348482482
4-Bucks,0.7282620644168407,8.293943058151038,0.2418379685610641,4.1002528306034955,2.3799054633395627,0.6732988897438716,19.37726723095526,1.822029240408926,0.6128393976036056,1.1679674618005937,27.193030669451467,20.284159613059252,8.631966582389799,0.013740793668242277,0.15114873035066506,4.042541497196878,0.0,0.2858085082994393,0.0,0.0,0.928877651973178,1.2504122238100472,0.0027481587336484555,0.0,0.9755963504452017,0.08244476200945366,0.0742002858085083,0.12641530174782895,0.016488952401890734,0.0989337144113444,0.5194020006595581,0.08519292074310213,0.43970539738375286,0.12091898428053204,0.32428273057051776,0.2830603495657909,0.14565241288336814,2.7948774321204795,2.676706606573595,2.3991425744751016,2.355172034736726,0.04122238100472683,0.01923711113553919,0.030229746070133012,0.22534901615917335,0.21985269869187643,0.01923711113553919,1.145982191931406,0.01923711113553919,0.5111575244586127,3.4819171155325934,0.5881059690007695,3.5808508299439374,0.08794107947675059,12.872375508409366,12.798175222600857
4-Bulls,0.4652256867306134,14.432450798463188,0.2796581375290766,6.403387261179791,1.7145396095240586,0.6978385300959201,12.260526384569143,2.739081571312825,0.47045294163769896,1.042837353963566,24.68309767125794,23.1593528658425,6.693499908523039,0.0,0.4390894121951857,4.254985494367633,0.12806774522359582,0.13590862758422415,0.010454509814171089,0.023522647081884947,1.5864718643004627,0.7579519615274039,0.0,0.0,0.7971563733305456,0.03659078434959881,0.052272549070855434,0.07579519615274039,0.023522647081884947,0.10193147068816812,0.7971563733305455,0.08363607851336871,0.6324978437573507,0.1123859805023392,0.18556754920153679,0.17249941193382295,0.10454509814171088,2.8253312772797368,1.5106766681477222,1.3538590209351558,2.6868090222419694,0.028749901988970494,0.02613627453542772,0.013068137267713862,0.28749901988970494,0.3528397062282742,0.054886176524398214,1.8426073547476545,0.06272705888502653,0.4024986278455869,2.73385431640574,0.4965892161731267,2.8593084341757926,0.07579519615274039,11.460756383785055,11.706437364418075
4-Cavaliers,0.8308735104405817,13.069858970154147,0.0,7.264676943260087,1.7792718924237454,0.8773368317481142,13.589154914179511,4.572537443970701,0.09839291571006888,2.7249371378594076,25.519295944025366,19.25494697715098,6.278014649611895,0.0,0.3525746146277468,3.7689952990051383,0.0,0.01913195583251339,0.0,0.0,1.6590138843336615,0.7980758718705587,0.0,0.0,0.7297474581830108,0.0847272329725593,0.0,0.1284574177325899,0.0,0.08472723297255931,0.8882693779381218,0.13665682737509566,0.8363397835355855,0.3553077511752487,0.25418169891767795,0.23504974308516452,0.2678473816551875,2.6046791297693233,1.7984038482562588,1.5797529244561057,2.424292117634197,0.0,0.005466273095003827,0.0,0.5138296709303597,0.49196457855034437,0.032797638570022956,1.637148791953646,0.062862140592544,0.4974308516453482,3.050180387012135,0.5001639881928501,3.304362085929813,0.013665682737509566,12.638023395648847,12.337378375423636
4-Celtics,0.4165690332994871,11.182274987633107,0.0,6.389127548230883,2.3067510218959097,0.5389361868312115,14.223228930719364,4.07716941341873,0.12236715353172434,1.5621338748730766,24.4890520450936,24.61922986799969,6.787471686323518,0.007810669374365383,0.26295920227030123,2.772787627899711,0.0,0.24213075060532685,0.0,0.0,1.2575177692728268,0.9060376474263844,0.005207112916243589,0.0,0.7628420422296858,0.031242677497461534,0.01822489520685256,0.08591736311801922,0.0,0.05207112916243589,0.8149131713921217,0.09633158895050639,0.7758598245202948,0.21088807310786536,0.2577520893540577,0.2291129683147179,0.16923116977791663,3.178942435366711,1.884974875680179,1.632429899242365,2.88734411205707,0.0,0.026035564581217942,0.026035564581217942,0.47645083183628834,0.5884037595355255,0.026035564581217946,1.5100627457106408,0.03644979041370512,0.29680543622588457,3.035746830170012,0.38011924288578197,3.332552266395897,0.01822489520685256,12.551745684605171,12.458017652112787
4-Clippers,0.165684330608143,14.506885406198226,0.010864546269386426,8.094086970692887,1.8361083195263057,0.2526007007632344,12.27693728440666,3.1968927397669558,0.3639623000244452,1.0864546269386424,25.26550234945813,20.70510905288318,7.2439362251134,0.0,0.0,4.9949751473504085,0.0,0.0,0.0,0.0,1.751908085938561,0.9696607545427385,0.0,0.0,0.8936089306570334,0.013580682836733032,0.038025911942852486,0.01629681940407964,0.0,0.04074204851019909,0.9941059836488579,0.03259363880815928,0.9479316620039656,0.14395523806937013,0.3150718418122063,0.15753592090610316,0.13037455523263708,2.6699622457017136,1.64869489637939,1.3336230545671837,2.5341554173343837,0.005432273134693213,0.0,0.0,0.3503816171877122,0.5160659477958551,0.0,1.751908085938561,0.0,0.586685498546867,3.0638020479669716,0.641008229893799,3.3652932069424457,0.03530977537550588,12.74954504712497,12.198169323953609
4-Grizzlies,0.312664287097756,15.428460750947679,0.052571871281923574,6.834343266650064,1.0735729503887552,0.9379928612932681,12.121966741374063,4.4464735342132204,0.48421460391245397,2.072438504745303,22.664010403696633,23.964472482775797,6.74026728646136,0.0,0.07747433662599265,2.789076118535735,0.0,0.0,0.0,0.0,1.7182701087407655,0.8964887523864863,0.0,0.0,0.7277053761655737,0.01936858415649816,0.044271049500567226,0.041504108906781766,0.002766940593785451,0.12174538612655986,0.9241581583243408,0.10514374256384715,0.7221714949780028,0.30713040591018514,0.13281314850170167,0.1134445643452035,0.20198666334633794,2.9108215046622954,1.5328850889571402,1.4692454553000747,2.800143880910877,0.011067762375141805,0.0,0.0,0.5008162474751667,0.5229517722254502,0.005533881187570902,1.9230237126808887,0.011067762375141805,0.3181981682853269,2.645195207658891,0.42057497025538865,2.8278132868487313,0.06917351484463628,11.975318889903434,12.072161810685925
4-Hawks,2.511153260492079,6.432826650281837,0.0,2.465738786632116,4.039216733897898,0.33125851521384875,19.878182352469747,1.3170197419389311,0.0,0.7266315817594102,25.389362327358214,14.9947906927043,12.422194320519328,0.14425774049635348,1.4559346031576417,7.2556300590388165,0.0,0.6358026340394839,0.0,0.0,0.6785456682606257,1.4105201292976786,0.013357198194106804,0.005342879277642721,1.466620361712927,0.32057275665856333,0.0,0.33392995485267013,0.0,0.02938583602703497,0.34995859268559826,0.056100232415248585,0.2537867656880293,0.06945743060935537,0.4755162557102022,0.4675019367937382,0.08815750808110491,2.2226377794993724,2.401624235300403,2.5164961397697216,1.6803355328186362,0.0,0.08014318916464083,0.04274303422114178,0.12021478374696123,0.18165789543985256,0.17097213688456708,0.9430181925039403,0.21638661074453025,0.8949322790051559,3.3553281863596296,0.8949322790051557,2.967969438730532,0.0,11.644805385622313,13.063339833836455
4-Heat,0.1543292001490075,16.73673567133202,0.39646639348624335,9.773295726677665,0.8408280559842478,0.6918205523921026,10.260230961630567,4.75493587355649,0.3139800968548773,1.3038156564312704,25.466978872864672,23.67090628492364,3.8209781278271513,0.0,0.002660848278431164,1.8120376776116227,0.0,0.0,0.0,0.0,2.147304560693949,0.49491777978819645,0.0,0.0,0.4283965728274174,0.015965089670586984,0.03991272417646746,0.023947634505880475,0.03459102761960513,0.07982544835293492,1.3330849874940132,0.07184290351764143,1.1095737321057952,0.21552871055292427,0.14368580703528286,0.07450375179607259,0.12239902080783355,2.929593954552711,1.4953967324783142,1.0989303389920708,3.033367037411527,0.04257357245489862,0.0,0.0,0.5215262625725081,0.5561172901921132,0.0,2.091426746846895,0.002660848278431164,0.18892022776861261,2.8471076579213452,0.21818955883135543,3.185035389282103,0.04257357245489862,12.652333563940184,11.936565377042202
